category,model_correct_bin,roi_labelName,count_images_bin,avg_emphasis,count_drawings_with_part,prop_drawings,label,levels
car,4,roof,28,0.19630605834434023,11,0.39285714285714285,roof,roof
car,4,trunk,28,0.1501002989017518,7,0.25,trunk,trunk
car,4,wheel,28,0.3591539688483906,27,0.9642857142857143,wheel,wheel
car,4,window,28,0.17952835618549007,12,0.42857142857142855,window,window
boat,1,deck,28,0.18715771868824252,3,0.10714285714285714,deck,deck
boat,1,hull,28,0.10961616104363756,1,0.03571428571428571,hull,hull
boat,1,mast,28,0.11001602766519544,6,0.21428571428571427,mast,mast
boat,1,sail,28,0.23533864528881906,9,0.32142857142857145,sail,sail
boat,1,window,28,0.2104444082551639,5,0.17857142857142858,window,window
boat,2,deck,28,0.14529323324606264,2,0.07142857142857142,deck,deck
boat,2,hull,28,0.3936168091069076,1,0.03571428571428571,hull,hull
boat,2,mast,28,0.12054198446811025,7,0.25,mast,mast
boat,2,sail,28,0.24318755775315234,9,0.32142857142857145,sail,sail
boat,2,window,28,0.1500981753876269,5,0.17857142857142858,window,window
boat,3,deck,28,0.17632331623102063,7,0.25,deck,deck
boat,3,hull,28,0.33343386191315316,3,0.10714285714285714,hull,hull
boat,3,mast,28,0.12721709845048712,12,0.42857142857142855,mast,mast
boat,3,sail,28,0.2806826760661298,17,0.6071428571428571,sail,sail
boat,3,window,28,0.24194831145742146,2,0.07142857142857142,window,window
boat,4,deck,28,0.22358472995695597,5,0.17857142857142858,deck,deck
boat,4,hull,28,0.5474229141407474,3,0.10714285714285714,hull,hull
boat,4,mast,28,0.12738774144909984,15,0.5357142857142857,mast,mast
boat,4,sail,28,0.2750805370984079,19,0.6785714285714286,sail,sail
airplane,1,cockpit,28,0.07269599857855225,8,0.2857142857142857,cockpit,cockpit
airplane,1,nose,28,0.11192214277385884,3,0.10714285714285714,nose,nose
airplane,1,tail,28,0.12546032500459192,10,0.35714285714285715,tail,tail
airplane,1,window,28,0.20069204214870018,11,0.39285714285714285,window,window
airplane,1,wing,28,0.22028589145949673,17,0.6071428571428571,wing,wing
airplane,2,cockpit,28,0.07619988754438552,5,0.17857142857142858,cockpit,cockpit
airplane,2,nose,28,0.2670047831912914,2,0.07142857142857142,nose,nose
airplane,2,tail,28,0.19032707122124803,6,0.21428571428571427,tail,tail
airplane,2,window,28,0.17347444490189065,14,0.5,window,window
airplane,2,wing,28,0.26685824237800926,19,0.6785714285714286,wing,wing
airplane,3,cockpit,27,0.08794445605959905,8,0.2962962962962963,cockpit,cockpit
airplane,3,nose,27,0.14619451389216964,3,0.1111111111111111,nose,nose
airplane,3,tail,27,0.17860248303487086,9,0.3333333333333333,tail,tail
airplane,3,window,27,0.24694639229868462,13,0.48148148148148145,window,window
airplane,3,wing,27,0.3014770861296088,24,0.8888888888888888,wing,wing
airplane,4,cockpit,27,0.05590725651028344,4,0.14814814814814814,cockpit,cockpit
airplane,4,nose,27,0.08706854488028576,2,0.07407407407407407,nose,nose
airplane,4,tail,27,0.1366713645315128,15,0.5555555555555556,tail,tail
airplane,4,window,27,0.209848633512553,17,0.6296296296296297,window,window
airplane,4,wing,27,0.31227046207869524,27,1,wing,wing
train,1,roof,28,0.13364472084317064,1,0.03571428571428571,roof,roof
train,1,wagon,28,0.3429326785955371,9,0.32142857142857145,wagon,wagon
train,1,wheel,28,0.27037832594253647,13,0.4642857142857143,wheel,wheel
train,1,window,28,0.13834015431907698,6,0.21428571428571427,window,window
train,2,engine,28,0.16794425865430868,3,0.10714285714285714,engine,engine
train,2,roof,28,0.2084795426272669,4,0.14285714285714285,roof,roof
train,2,wagon,28,0.3063817898314005,10,0.35714285714285715,wagon,wagon
train,2,wheel,28,0.3294617207854041,17,0.6071428571428571,wheel,wheel
train,2,window,28,0.14151474454836602,5,0.17857142857142858,window,window
train,3,engine,28,0.22700443080997684,6,0.21428571428571427,engine,engine
train,3,roof,28,0.09400303675151887,5,0.17857142857142858,roof,roof
train,3,wagon,28,0.32376540225542677,10,0.35714285714285715,wagon,wagon
train,3,wheel,28,0.2943165754316998,19,0.6785714285714286,wheel,wheel
train,3,window,28,0.15712672130299107,10,0.35714285714285715,window,window
train,4,engine,27,0.11860619613677412,5,0.18518518518518517,engine,engine
train,4,roof,27,0.09333037359358616,6,0.2222222222222222,roof,roof
train,4,wagon,27,0.32282782134524246,7,0.25925925925925924,wagon,wagon
train,4,wheel,27,0.3068145396659469,18,0.6666666666666666,wheel,wheel
train,4,window,27,0.11881117322862661,11,0.4074074074074074,window,window
